Y,X1,X2,X3,X4,X5,REP,TREATMENT,N,Unknown
40.6,1,1,1,1,1,1,1,1,152
42.19,1,1,1,1,1,2,1,14,151
19.71,1,1,1,1,1,3,1,23,165
27.64,1,1,1,1,1,4,1,30,127
24.16,1,2,1,1,1,5,1,38,96
25.66,1,2,1,1,1,6,1,42,43
14.94,2,1,1,1,1,1,1,2,161
5.52,2,1,1,1,1,2,1,7,158
25.82,2,1,1,1,1,3,1,18,165
6.98,2,2,1,1,1,4,1,19,143
24.68,2,2,1,1,1,5,1,29,82
12.65,2,2,1,1,1,6,1,33,155
19.75,1,1,2,1,1,1,2,5,153
17.36,1,1,2,1,1,2,2,13,163
19.64,1,1,2,1,1,3,2,24,85
25.97,1,1,2,1,1,4,2,26,164
17.44,1,2,2,1,1,5,2,39,138
9.47,2,1,2,1,1,1,2,5,147
14.57,2,1,2,1,1,2,2,9,63
4.89,2,1,2,1,1,3,2,16,157
14.82,2,2,2,1,1,4,2,23,166
17.88,2,2,2,1,1,5,2,28,137
14.97,2,2,2,1,1,6,2,31,55
35.64,1,1,1,2,1,1,3,4,146
28.61,1,1,1,2,1,3,3,20,91
17.86,1,1,1,2,1,4,3,25,82
17.21,1,2,1,2,1,5,3,34,60
14.29,1,2,1,2,1,6,3,41,131
9.68,1,1,2,2,1,2,4,12,155
15.5,1,1,2,2,1,3,4,21,105
16.2,1,1,2,2,1,4,4,29,109
10.35,1,2,2,2,1,5,4,36,55
19.15,1,2,2,2,1,6,4,47,56
7.64,2,1,2,2,1,1,4,3,60
11.1,2,1,2,2,1,2,4,12,163
10.7,2,1,2,2,1,3,4,15,42
2.55,2,2,2,2,1,4,4,21,138
15.48,2,2,2,2,1,5,4,30,96
11.1,2,2,2,2,1,6,4,36,105
44.82,1,1,1,1,2,1,5,7,154
29.62,1,1,1,1,2,2,5,15,161
44.88,1,1,1,1,2,3,5,18,136
33.65,1,1,1,1,2,4,5,32,160
28.87,1,2,1,1,2,5,5,37,108
36.7,1,2,1,1,2,6,5,48,157
2.6,2,1,1,1,2,1,5,6,131
5.12,2,1,1,1,2,2,5,10,140
18.19,2,1,1,1,2,3,5,14,159
3.98,2,2,1,1,2,4,5,22,162
29.55,2,2,1,1,2,5,5,25,146
4.87,2,2,1,1,2,6,5,35,152
26.23,1,1,2,1,2,1,6,3,149
34.51,1,1,2,1,2,2,6,10,156
28.93,1,1,2,1,2,4,6,27,125
34.51,1,1,2,1,2,4,6,28,61
30.35,1,2,2,1,2,5,6,33,144
32.02,1,2,2,1,2,6,6,45,147
17.72,2,1,2,1,2,1,6,1,56
23.83,2,1,2,1,2,2,6,8,151
4.31,2,1,2,1,2,3,6,13,148
12.32,2,2,2,1,2,4,6,20,91
17.93,2,2,2,1,2,5,6,26,108
17.21,2,2,2,1,2,6,6,34,75
21.6,1,1,1,2,2,2,7,16,49
7.96,1,1,1,2,2,3,7,17,63
15.59,1,1,1,2,2,4,7,31,143
20.46,1,2,1,2,2,5,7,40,107
17.54,1,2,1,2,2,6,7,46,42
15.79,1,1,2,2,2,1,8,6,75
19.66,1,1,2,2,2,2,8,9,158
20.78,1,1,2,2,2,3,8,19,145
30.56,1,1,2,2,2,3,8,22,159
28.32,1,2,2,2,2,5,8,35,148
8.76,1,2,2,2,2,6,8,44,140
9.07,2,1,2,2,2,1,8,4,154
4.43,2,1,2,2,2,2,8,11,61
9.22,2,1,2,2,2,3,8,17,125
21.08,2,2,2,2,2,4,8,24,149
15.48,2,2,2,2,2,5,8,27,107
13.14,2,2,2,2,2,6,8,32,156
